Role,Category,Subcategory,Product/Skill,Short Description,Long Description,Core,Docs Link
Apps & AI,Agentic AI,Development Tools,Claude Code,AI-powered terminal coding assistant,"Claude Code is Anthropic's agentic coding tool that operates directly from the terminal. It can explore codebases, plan and execute multi-step tasks, make edits, run commands, and integrate with git workflows. Built on Claude models with extended context windows for deep reasoning on complex projects.",No,https://docs.anthropic.com/en/docs/agents-and-tools/claude-code/overview
Apps & AI,Agentic AI,Development Tools,Codex,Code generation and understanding,"Codex models are specialized for understanding and generating programming code across multiple languages. They power code completion, explanation, refactoring, and natural language to code translation, enabling developers to write code faster and understand unfamiliar codebases through AI assistance.",No,https://en.wikipedia.org/wiki/OpenAI_Codex
Apps & AI,Agentic AI,Development Tools,GitHub Copilot,AI-powered code completion and chat,"GitHub Copilot is an AI-powered coding assistant that provides real-time code suggestions, completions, and explanations directly in your IDE. It supports multiple programming languages, understands context from your codebase, can generate entire functions from natural language descriptions, and includes chat capabilities for explaining code and debugging.",Yes,https://docs.github.com/en/copilot
Apps & AI,Agentic AI,Development Tools,GitHub Copilot CLI,AI-powered terminal assistant,"GitHub Copilot CLI brings AI assistance to the command line, enabling developers to get help with shell commands, explain complex commands, and automate terminal workflows. It understands natural language queries, suggests appropriate commands for various shells and tools, and can execute multi-step tasks with full access to your development environment.",Yes,https://docs.github.com/en/copilot/how-tos/use-copilot-for-common-tasks/use-copilot-in-the-cli
Apps & AI,Agentic AI,Framework,AutoGen,Multi-agent orchestration framework from Microsoft Research,"AutoGen is an open-source Python framework from Microsoft Research designed for building multi-agent conversational systems. It enables the creation of autonomous agents that can collaborate, execute code, and interact with humans in the loop, supporting complex workflows through group chat orchestration and nested conversation patterns.",No,https://microsoft.github.io/autogen/
Apps & AI,Agentic AI,Framework,LangChain,Popular open-source LLM orchestration framework,"LangChain is a widely-adopted open-source framework for building applications powered by large language models. It provides abstractions for chains, agents, memory, and retrieval, supports multiple LLM providers, and offers extensive integrations with vector databases, document loaders, and external tools for building sophisticated AI applications.",No,https://python.langchain.com/docs/introduction/
Apps & AI,Agentic AI,Framework,Microsoft Agent Framework,Unified open-source SDK combining Semantic Kernel and AutoGen,"The Microsoft Agent Framework is a production-ready, open-source development kit that unifies Semantic Kernel and AutoGen into a single platform for building agentic AI applications. It supports multi-agent orchestration patterns including sequential, concurrent, group chat, and handoff scenarios, with built-in observability via OpenTelemetry, Microsoft Entra security integration, and responsible AI features.",Yes,https://learn.microsoft.com/en-us/agent-framework/
Apps & AI,Agentic AI,Framework,Model Context Protocol (MCP),Open standard for agent-tool interactions,"Model Context Protocol (MCP) is an open standard that defines how AI agents discover and interact with external tools and data sources. It provides a standardized way for agents to access APIs, databases, and services, enabling interoperability between different agent frameworks and simplifying the integration of enterprise systems into agentic workflows.",Yes,https://modelcontextprotocol.io/introduction
Apps & AI,Agentic AI,Framework,n8n,Visual workflow automation platform,"n8n is an open-source workflow automation platform that enables connecting APIs and services through a visual node-based interface. It supports custom code nodes, self-hosting options, and integration with hundreds of services, making it popular for building automated workflows and integrating AI capabilities into business processes.",No,https://docs.n8n.io/
Apps & AI,Agentic AI,Framework,Prompty,Microsoft prompt templating format,"Prompty is a Microsoft-developed asset class and format for LLM prompts that enables version control, sharing, and standardization of prompt engineering. It supports parameterized templates, model configuration, and integration with development tools, making it easier to manage prompts across development teams and deployment environments.",No,https://prompty.ai/
Apps & AI,Agentic AI,Framework,Semantic Kernel,"LLM orchestration SDK for .NET, Python, Java","Semantic Kernel is an open-source SDK that enables developers to integrate large language models into applications using .NET, Python, or Java. It provides a modular architecture with plugins, planners, memory management, and connectors to various AI services, making it ideal for building enterprise-grade AI solutions with function calling and prompt templating capabilities.",No,https://learn.microsoft.com/en-us/semantic-kernel/
Apps & AI,Agentic AI,Solution,Azure Copilot,AI assistant in Azure Portal,"Azure Copilot is an AI assistant integrated into the Azure Portal that helps users manage cloud resources, troubleshoot issues, and optimize deployments. It understands Azure services and can provide guidance on best practices, generate ARM/Bicep templates, explain resource configurations, and assist with cost optimization and security recommendations.",No,https://learn.microsoft.com/en-us/azure/copilot/
Apps & AI,Agentic AI,Solution,Azure SRE Agent,AI agent for site reliability engineering tasks,"Azure SRE Agent is an AI-powered site reliability engineering assistant that helps automate operational tasks across Azure infrastructure. It combines fine-tuned Azure expertise with customizable runbooks, integrates with monitoring platforms like Azure Monitor and Grafana, and supports incident management through PagerDuty and ServiceNow connections.",Yes,https://learn.microsoft.com/en-us/azure/sre-agent/
Apps & AI,Agentic AI,Solution,Microsoft 365 Copilot,AI assistant across Microsoft 365 apps,"Microsoft 365 Copilot is an AI assistant embedded across Microsoft 365 applications including Word, Excel, PowerPoint, Outlook, and Teams. It leverages organizational data through Microsoft Graph to help users draft documents, analyze data, create presentations, summarize emails, and automate routine tasks while maintaining enterprise security and compliance.",Yes,https://learn.microsoft.com/en-us/microsoft-365-copilot/
Apps & AI,Agentic AI,Solution,Microsoft Copilot Studio,Low-code platform for building copilots and agents,"Microsoft Copilot Studio is a low-code/no-code platform for creating conversational AI agents and copilots. It provides a visual designer for building dialog flows, integrates with Power Automate for workflow automation, supports knowledge retrieval from enterprise data sources, and enables deployment across Microsoft 365, Teams, and custom websites.",Yes,https://learn.microsoft.com/en-us/microsoft-copilot-studio/
Apps & AI,Agentic AI,Solution,Microsoft Foundry Agent Service,Managed service for building and hosting AI agents,"Azure AI Foundry Agent Service (formerly Azure AI Agent Service) is a fully managed Azure service for building, deploying, and scaling AI agents with enterprise-grade security and compliance. It provides built-in credential management, persistent conversation threads, tool orchestration, content moderation, and native integrations with Azure Functions, Bing, Microsoft Fabric, SharePoint, and Azure AI Search.",Yes,https://learn.microsoft.com/en-us/azure/ai-foundry/agents/overview
Apps & AI,Agentic AI,Solution,Microsoft Security Copilot,AI assistant for security operations,"Microsoft Security Copilot is an AI-powered security assistant that helps security teams investigate threats, analyze incidents, and respond to attacks at machine speed. It integrates with Microsoft Defender, Sentinel, and Intune to provide contextual threat intelligence, automate routine security tasks, and generate incident reports and remediation guidance.",No,https://learn.microsoft.com/en-us/security-copilot/
Apps & AI,AI & Machine Learning,Framework,NVIDIA TensorRT,High-performance inference optimizer,"NVIDIA TensorRT is a deep learning inference optimizer and runtime that delivers low latency and high throughput for production deployments. It optimizes trained models through layer fusion, precision calibration, and kernel auto-tuning for NVIDIA GPUs.",No,https://developer.nvidia.com/tensorrt
Apps & AI,AI & Machine Learning,Framework,NVIDIA Triton Inference Server,Scalable model serving platform,"NVIDIA Triton Inference Server is an open-source inference serving platform that simplifies deploying AI models at scale. It supports multiple frameworks (TensorFlow, PyTorch, ONNX), dynamic batching, model ensembles, and concurrent model execution across GPUs.",No,https://developer.nvidia.com/triton-inference-server
Apps & AI,AI & Machine Learning,Framework,PyTorch,Deep learning research framework,"PyTorch is an open-source deep learning framework known for its dynamic computation graphs and Pythonic design. It provides tensor computation with GPU acceleration, automatic differentiation, and extensive libraries for computer vision, NLP, and reinforcement learning, making it popular for research and production.",No,https://pytorch.org/docs/
Apps & AI,AI & Machine Learning,Framework,TensorFlow,End-to-end ML platform,"TensorFlow is Google's open-source machine learning platform for building and deploying ML models at scale. It offers flexible tools for research and production, including Keras for high-level APIs, TensorFlow Lite for mobile, and TensorFlow Serving for deployment.",No,https://www.tensorflow.org/learn
Apps & AI,AI & Machine Learning,Fundamentals,CNN,Convolutional neural networks for vision,"Convolutional Neural Networks are deep learning models designed for processing grid-like data such as images. Using convolutional layers with learnable filters, pooling for spatial reduction, and fully connected layers for classification, CNNs automatically learn hierarchical visual features for image recognition and computer vision tasks.",No,https://en.wikipedia.org/wiki/Convolutional_neural_network
Apps & AI,AI & Machine Learning,Fundamentals,Gradient Boosting,Ensemble learning for predictions,Gradient Boosting is an ensemble machine learning technique that builds strong predictive models by sequentially combining weak learners (typically decision trees). Each tree corrects errors from previous ones using gradient descent optimization. XGBoost and LightGBM are popular implementations known for high accuracy on structured data.,No,https://en.wikipedia.org/wiki/Gradient_boosting
Apps & AI,AI & Machine Learning,Fundamentals,ONNX,Open model interchange format,"ONNX (Open Neural Network Exchange) is an open-source format for representing machine learning models, enabling interoperability across frameworks like PyTorch, TensorFlow, and scikit-learn. ONNX Runtime provides high-performance inference across platforms and hardware accelerators for production deployments.",No,https://onnx.ai/
Apps & AI,AI & Machine Learning,Fundamentals,R-CNN,Region-based object detection,"R-CNN (Region-based Convolutional Neural Network) is an object detection framework that combines selective region proposals with CNN feature extraction. It generates candidate bounding boxes, extracts features using a CNN, then classifies objects and refines locations, forming the foundation for modern detection models like Faster R-CNN.",No,https://en.wikipedia.org/wiki/Region_Based_Convolutional_Neural_Networks
Apps & AI,AI & Machine Learning,Fundamentals,Transformers,Attention-based neural architecture,"Transformers are a neural network architecture using self-attention mechanisms to process sequential data in parallel. Introduced in 'Attention Is All You Need' (2017), they power modern LLMs like GPT and BERT, enabling models to capture long-range dependencies and achieve state-of-the-art results in NLP and beyond.",No,https://en.wikipedia.org/wiki/Transformer_(deep_learning)
Apps & AI,AI & Machine Learning,Fundamentals: Computer Vision,Image Classification,Categorizing images into predefined classes,"Image classification is the task of assigning predefined labels or categories to images based on their visual content. It involves training models to recognize patterns, objects, or scenes, and is foundational to applications like photo organization, content moderation, medical imaging diagnosis, and quality control in manufacturing.",Yes,https://en.wikipedia.org/wiki/Computer_vision#Recognition
Apps & AI,AI & Machine Learning,Fundamentals: Computer Vision,Image Segmentation,Pixel-level image partitioning,"Image segmentation divides an image into meaningful regions at the pixel level, identifying exact boundaries of objects rather than bounding boxes. Techniques include semantic segmentation (labeling each pixel by class) and instance segmentation (distinguishing between individual objects), used in medical imaging, autonomous driving, and image editing.",Yes,https://en.wikipedia.org/wiki/Image_segmentation
Apps & AI,AI & Machine Learning,Fundamentals: Computer Vision,Object Detection,Identifying and locating objects in images,"Object detection combines image classification with localization to identify multiple objects within an image and draw bounding boxes around them. It enables applications like autonomous vehicles, retail inventory tracking, security surveillance, and augmented reality to understand what objects are present and where they are located.",Yes,https://en.wikipedia.org/wiki/Object_detection
Apps & AI,AI & Machine Learning,Fundamentals: Computer Vision,OCR & Document Analysis,Extracting text from images/documents,"Optical Character Recognition (OCR) and document analysis extract text and structure from images, PDFs, and scanned documents. Modern approaches combine text detection, recognition, and layout analysis to understand document hierarchy, tables, and forms, enabling document digitization, data extraction, and automated processing workflows.",No,https://en.wikipedia.org/wiki/Optical_character_recognition
Apps & AI,AI & Machine Learning,Fundamentals: Computer Vision,Video Analytics,Processing and analyzing video content,"Video analytics applies computer vision techniques to video streams for real-time or batch analysis. It includes object tracking, action recognition, scene understanding, and temporal analysis, enabling applications like security monitoring, traffic analysis, sports analytics, and automated video summarization.",No,https://en.wikipedia.org/wiki/Video_content_analysis
Apps & AI,AI & Machine Learning,Fundamentals: Large Language Models (LLMs),Chunking,Splitting documents for RAG pipelines,"Chunking is the process of splitting large documents into smaller segments for embedding and retrieval in RAG applications. Strategies include fixed-size chunks, semantic chunking, and recursive splitting, with chunk size and overlap affecting retrieval quality and context coherence in LLM responses.",No,https://learn.microsoft.com/en-us/azure/search/vector-search-how-to-chunk-documents
Apps & AI,AI & Machine Learning,Fundamentals: Large Language Models (LLMs),Embeddings Models,Vector representations for semantic search,"Embedding models convert text into dense vector representations that capture semantic meaning. These vectors enable similarity search, clustering, and retrieval-augmented generation by measuring distances between concepts in vector space, powering semantic search engines and knowledge retrieval systems.",No,https://en.wikipedia.org/wiki/Word_embedding
Apps & AI,AI & Machine Learning,Fundamentals: Large Language Models (LLMs),Multi-modal Models,Vision + text combined models,"Multi-modal models like GPT-4 Vision process both text and images in a unified architecture. They can describe images, answer questions about visual content, extract information from diagrams, and reason across modalities, enabling applications that understand documents with mixed text and visual elements.",No,https://en.wikipedia.org/wiki/Multimodal_learning
Apps & AI,AI & Machine Learning,Fundamentals: Large Language Models (LLMs),Prompt Engineering,Crafting effective LLM instructions,"Prompt engineering is the practice of designing and optimizing inputs to large language models to achieve desired outputs. It encompasses techniques like few-shot learning, role definition, output formatting, and iterative refinement to improve response quality, consistency, and task performance.",Yes,https://learn.microsoft.com/en-us/azure/ai-foundry/concepts/observability
Apps & AI,AI & Machine Learning,Fundamentals: Large Language Models (LLMs),Retrieval-Augmented Generation (RAG),Grounding LLM responses with retrieved context,"Retrieval-Augmented Generation (RAG) combines information retrieval with LLM generation to ground responses in factual, up-to-date information. It involves chunking documents, creating embeddings, searching for relevant context, and augmenting prompts with retrieved content to reduce hallucinations and enable knowledge-intensive applications.",Yes,https://learn.microsoft.com/en-us/azure/search/retrieval-augmented-generation-overview
Apps & AI,AI & Machine Learning,Fundamentals: Large Language Models (LLMs),Supervised Fine-Tuning,Instruction-based model tuning,"Supervised fine-tuning adapts LLMs using labeled examples of desired input-output pairs. By training on high-quality demonstrations of tasks, models learn to follow instructions more accurately, produce consistent formatting, and handle domain-specific queries better than base models.",Yes,https://en.wikipedia.org/wiki/Fine-tuning_(deep_learning)
Apps & AI,AI & Machine Learning,Fundamentals: MLOps,Data Preparation,Cleaning and formatting training data,"Data preparation encompasses the processes of collecting, cleaning, transforming, and formatting data for machine learning. It includes handling missing values, normalization, feature engineering, data augmentation, and creating train/validation/test splits to ensure model training produces reliable results.",No,https://learn.microsoft.com/en-us/azure/machine-learning/how-to-prepare-datasets-for-automl-images
Apps & AI,AI & Machine Learning,Fundamentals: MLOps,Hyperparameter Optimization,Tuning training parameters,"Hyperparameter optimization involves systematically searching for the best training configuration including learning rate, batch size, epochs, and regularization. Proper tuning maximizes model performance while preventing overfitting, using techniques like grid search, random search, or Bayesian optimization.",No,https://en.wikipedia.org/wiki/Hyperparameter_optimization
Apps & AI,AI & Machine Learning,Fundamentals: MLOps,Model Evaluation,Benchmarking and quality assessment,"Model evaluation involves measuring AI model performance using metrics appropriate to the task, such as accuracy, precision, recall, and F1 for classification, or BLEU, ROUGE, and human evaluation for generative models. It includes establishing baselines, running benchmarks, and tracking quality over time.",No,https://learn.microsoft.com/en-us/azure/machine-learning/how-to-evaluate-models
Apps & AI,AI & Machine Learning,Fundamentals: Natural Language Processing (NLP),Machine Translation,Converting text between languages,"Machine translation automatically converts text from one language to another using neural networks trained on parallel corpora. Modern systems like neural machine translation produce fluent, context-aware translations and can be customized with domain-specific terminology for specialized content like legal, medical, or technical documents.",No,https://en.wikipedia.org/wiki/Machine_translation
Apps & AI,AI & Machine Learning,Fundamentals: Natural Language Processing (NLP),Named Entity Recognition (NER),Identifying entities in text,"Named Entity Recognition identifies and classifies named entities in text into categories such as persons, organizations, locations, dates, and quantities. It is fundamental to information extraction, knowledge graph construction, and understanding the key actors and concepts mentioned in documents.",No,https://en.wikipedia.org/wiki/Named-entity_recognition
Apps & AI,AI & Machine Learning,Fundamentals: Natural Language Processing (NLP),Question Answering,Building QnA systems,"Question answering systems provide direct answers to user questions based on a knowledge base, documents, or retrieved context. Approaches range from extractive QA (finding answer spans in text) to generative QA (synthesizing answers using LLMs), enabling FAQ bots, customer support automation, and information retrieval.",No,https://en.wikipedia.org/wiki/Question_answering
Apps & AI,AI & Machine Learning,Fundamentals: Natural Language Processing (NLP),Sentiment Analysis,Detecting emotional tone in text,"Sentiment analysis determines the emotional tone or opinion expressed in text, classifying content as positive, negative, or neutral. Advanced approaches detect specific emotions, aspect-based sentiment, and intensity levels, enabling brand monitoring, customer feedback analysis, and social media analytics.",No,https://en.wikipedia.org/wiki/Sentiment_analysis
Apps & AI,AI & Machine Learning,Fundamentals: Natural Language Processing (NLP),Text Analytics,Extracting insights from text,"Text analytics encompasses techniques for extracting structured information and insights from unstructured text. It includes statistical analysis of word frequencies, co-occurrence patterns, and linguistic features to understand content themes, measure readability, and identify important information within large text corpora.",No,https://en.wikipedia.org/wiki/Text_mining
Apps & AI,AI & Machine Learning,Fundamentals: Natural Language Processing (NLP),Text Summarization,Condensing long text,"Text summarization creates concise versions of longer documents while preserving key information. Extractive summarization selects important sentences from the original text, while abstractive summarization generates new sentences that capture the essence, useful for news digests, document review, and meeting notes.",No,https://en.wikipedia.org/wiki/Automatic_summarization
Apps & AI,AI & Machine Learning,Fundamentals: Security,Responsible AI,AI ethics & governance,"Microsoft's Responsible AI Standard provides guidelines and practices for developing AI systems ethically and responsibly. It covers fairness, reliability, privacy, security, inclusiveness, transparency, and accountability, helping organizations implement AI governance frameworks and evaluate AI systems for potential harms.",Yes,https://www.microsoft.com/en-us/ai/responsible-ai
Apps & AI,AI & Machine Learning,Solution,Azure AI Anomaly Detector,Time-series anomaly detection,"Azure Anomaly Detector is an AI service that identifies anomalies in time-series data automatically. It detects spikes, dips, and trend changes without requiring ML expertise, making it ideal for monitoring IoT sensors, business metrics, and operational data to identify issues before they impact users.",Yes,https://learn.microsoft.com/en-us/azure/ai-services/anomaly-detector/
Apps & AI,AI & Machine Learning,Solution,Azure AI Bot Service,Conversational AI bots,"Azure Bot Services provides a managed platform for building, testing, and deploying conversational AI bots. It integrates with Bot Framework SDK, supports multiple channels including Teams, Slack, and web chat, and connects with Azure AI services for natural language understanding and speech capabilities.",Yes,https://learn.microsoft.com/en-us/azure/bot-service/
Apps & AI,AI & Machine Learning,Solution,Azure AI Content Safety,Content moderation,"Azure AI Content Safety provides AI-powered content moderation to detect potentially offensive, risky, or unwanted content in text and images. It identifies hate speech, violence, self-harm, and sexual content with severity levels, enabling platforms to enforce content policies and create safer user experiences.",Yes,https://learn.microsoft.com/en-us/azure/ai-services/content-safety/
Apps & AI,AI & Machine Learning,Solution,Azure AI Custom Vision,Custom image classifiers,"Azure Custom Vision is a cognitive service for building custom image classification and object detection models without deep ML expertise. It provides a web-based interface for uploading training images, labeling data, and training models that can be exported for edge deployment or accessed via REST APIs for cloud-based predictions.",Yes,https://learn.microsoft.com/en-us/azure/ai-services/custom-vision-service/
Apps & AI,AI & Machine Learning,Solution,Azure AI Face,Face detection & recognition,"Azure Face API provides facial detection, recognition, and analysis capabilities for identifying individuals, detecting facial attributes, and verifying identity. It supports face grouping, similarity matching, and liveness detection for building secure authentication systems while adhering to responsible AI principles and privacy requirements.",Yes,https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/overview-identity
Apps & AI,AI & Machine Learning,Solution,Azure AI Immersive,Reading accessibility,"Azure Immersive Reader is an AI service that improves reading comprehension and accessibility. It provides text-to-speech, translation, syllable highlighting, picture dictionaries, and focus mode, helping users with dyslexia, learning differences, or language barriers to better understand written content.",No,https://learn.microsoft.com/en-us/azure/ai-services/immersive-reader/
Apps & AI,AI & Machine Learning,Solution,Azure AI Search,"Vector/hybrid search, RAG pipelines","Azure AI Search is a cloud search service that provides vector and hybrid search capabilities for building retrieval-augmented generation (RAG) applications. It supports semantic ranking, AI enrichment during indexing, and integration with Azure AI Services for building intelligent search experiences and grounding LLM responses with enterprise data.",Yes,https://learn.microsoft.com/en-us/azure/search/
Apps & AI,AI & Machine Learning,Solution,Azure AI Services (OpenAI),"GPT, Codex, embeddings, DALL-E","Azure AI Services provides enterprise-grade access to OpenAI's powerful models including GPT-4, GPT-4o, Codex, and DALL-E with Azure's security, compliance, and regional availability. It offers private networking, content filtering, fine-tuning capabilities, and responsible AI tools for building generative AI applications at scale.",Yes,https://learn.microsoft.com/en-us/azure/ai-foundry/openai/
Apps & AI,AI & Machine Learning,Solution,Azure AI Video Indexer,Video content analysis,"Azure AI Video Indexer is a cloud service that extracts insights from video and audio content using AI. It provides automatic transcription, speaker identification, face recognition, object detection, scene segmentation, and sentiment analysis, making video content searchable and enabling automated content moderation and metadata extraction.",Yes,https://learn.microsoft.com/en-us/azure/azure-video-indexer/
Apps & AI,AI & Machine Learning,Solution,Azure Document Intelligence,Form/document extraction,"Azure AI Document Intelligence (formerly Form Recognizer) extracts text, key-value pairs, tables, and structures from documents using machine learning. It includes prebuilt models for invoices, receipts, and IDs, plus custom model training for organization-specific documents, automating data entry and document processing workflows.",Yes,https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/
Apps & AI,AI & Machine Learning,Solution,Azure Language,"NLP, text analytics, QnA","Azure AI Language provides natural language processing capabilities including sentiment analysis, key phrase extraction, named entity recognition, and conversational language understanding. It enables applications to understand text, build question-answering systems, summarize documents, and extract structured information from unstructured content.",Yes,https://learn.microsoft.com/en-us/azure/ai-services/language-service/
Apps & AI,AI & Machine Learning,Solution,Azure Machine Learning,End-to-end ML platform,"Azure Machine Learning is a comprehensive cloud platform for building, training, and deploying machine learning models at scale. It provides automated ML, designer-based visual workflows, Jupyter notebooks, MLOps capabilities, and integration with popular frameworks like PyTorch and TensorFlow, enabling data scientists to accelerate the entire ML lifecycle.",Yes,https://learn.microsoft.com/en-us/azure/machine-learning/
Apps & AI,AI & Machine Learning,Solution,Azure Speech,"Speech-to-text, text-to-speech","Azure Speech Services provides speech recognition, synthesis, and translation capabilities. It includes real-time speech-to-text transcription, custom voice creation for text-to-speech, speech translation across languages, speaker recognition, and pronunciation assessment, enabling voice-enabled applications and accessibility solutions.",Yes,https://learn.microsoft.com/en-us/azure/ai-services/speech-service/
Apps & AI,AI & Machine Learning,Solution,Azure Translator,Multi-language translation,"Azure Translator is a cloud-based neural machine translation service supporting over 100 languages. It provides real-time text and document translation, transliteration, language detection, and custom terminology support, enabling applications to break language barriers and localize content for global audiences.",No,https://learn.microsoft.com/en-us/azure/ai-services/translator/
Apps & AI,AI & Machine Learning,Solution,Azure Vision,"Image analysis, OCR","Azure Computer Vision provides AI capabilities for extracting information from images including object detection, image classification, optical character recognition (OCR), and spatial analysis. It enables applications to understand visual content, extract text from documents, detect faces, and analyze image composition for accessibility and automation scenarios.",Yes,https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/
Apps & AI,AI & Machine Learning,Solution,Capacity Planning,Model availability and quota management,"Capacity planning for Azure AI Services involves understanding model availability across regions, managing quota limits, and planning for throughput requirements. It includes monitoring token usage, provisioning appropriate deployment tiers, and implementing retry logic to handle rate limits in production AI applications.",No,https://learn.microsoft.com/en-us/azure/ai-services/openai/quotas-limits
Apps & AI,AI & Machine Learning,Solution,Microsoft Foundry,"Model orchestration, prompt flow, agents","Azure AI Foundry (formerly AI Studio) is a unified platform for developing generative AI applications. It provides prompt flow for visual orchestration, model catalog for discovering and deploying models, evaluation tools for testing AI quality, and integrated development environments for building, testing, and deploying AI solutions with built-in responsible AI capabilities.",Yes,https://learn.microsoft.com/en-us/azure/ai-foundry/
