Role,Category,Subcategory,Product/Skill,Short Description,Long Description,Core,Docs Link
Apps & AI,Application Development,Fundamentals,Infrastructure as Code (IaC),Declarative infrastructure management,"Infrastructure as Code (IaC) manages cloud resources through version-controlled configuration files rather than manual processes. Tools like Bicep, Terraform, and ARM templates enable reproducible, auditable, and automated infrastructure provisioning.",Yes,https://en.wikipedia.org/wiki/Infrastructure_as_code
Apps & AI,Application Development,Solution,Redis,In-memory caching,"Azure Cache for Redis provides a fully managed in-memory data store based on Redis. It offers sub-millisecond latency for caching, session management, and real-time analytics, with options for clustering, geo-replication, and data persistence for mission-critical applications.",Yes,https://azure.microsoft.com/en-us/products/managed-redis
Apps & AI,Application Development,Best Practices,Integration Testing,Testing component interactions,"Integration testing verifies that multiple components or services work correctly together. It validates API contracts, database interactions, and external service integrations, catching issues that unit tests miss when components are combined.",No,https://en.wikipedia.org/wiki/Integration_testing
Apps & AI,Application Development,Best Practices,Interactive Debugging,Runtime code inspection and troubleshooting,"Interactive debugging involves using debuggers to step through code execution, inspect variables, set breakpoints, and diagnose issues at runtime. Tools include IDE debuggers, browser DevTools, and remote debugging capabilities for troubleshooting applications in development and production environments.",No,https://code.visualstudio.com/docs/editor/debugging
Apps & AI,Application Development,Best Practices,Test-Driven Development (TDD),Writing tests before implementation,"Test-Driven Development is a practice where tests are written before the code they validate. The red-green-refactor cycle ensures code is testable by design, leads to better architecture, and creates comprehensive test coverage as a natural byproduct of development.",No,https://en.wikipedia.org/wiki/Test-driven_development
Apps & AI,Application Development,Best Practices,Unit Testing,Testing individual code components,"Unit testing validates that individual functions, methods, or classes work correctly in isolation. It enables rapid feedback during development, catches regressions early, and serves as documentation for expected behavior. Frameworks include pytest, xUnit, Jest, and NUnit.",Yes,https://en.wikipedia.org/wiki/Unit_testing
Apps & AI,Application Development,Solution,Azure Functions,Event-driven serverless compute,"Azure Functions is a serverless compute service that enables running event-triggered code without managing infrastructure. It supports multiple programming languages, automatic scaling, and integration with Azure services through bindings and triggers for building microservices, APIs, and automation workflows.",Yes,https://learn.microsoft.com/en-us/azure/azure-functions/
Apps & AI,Application Development,Framework,Durable Functions,Stateful serverless workflows,"Durable Functions is an extension of Azure Functions for writing stateful workflows in serverless environments. It provides orchestrator functions for defining workflows, activity functions for work units, and entity functions for state management, enabling long-running, reliable business processes.",No,https://learn.microsoft.com/en-us/azure/azure-functions/durable/
Apps & AI,Application Development,Framework,Playwright,Testing complete user workflows,"End-to-end (E2E) testing validates entire user workflows from start to finish, simulating real user interactions. Tools like Playwright, Selenium, and Cypress automate browser testing to ensure applications work correctly from the user's perspective.",Yes,https://playwright.dev/docs/intro
Apps & AI,Application Development,Framework,Git,Source code management and collaboration,"Git is the standard distributed version control system for tracking code changes and enabling team collaboration. Proficiency includes branching strategies, merge/rebase workflows, conflict resolution, and integration with GitHub or Azure DevOps.",Yes,https://git-scm.com/doc
Apps & AI,Containers,Solution,Azure App Configuration,Centralized config management,"Azure App Configuration provides centralized management of application settings and feature flags. It enables dynamic configuration updates without redeployment, feature management with targeting rules, and integration with Key Vault for secrets, supporting modern DevOps practices for configuration management.",Yes,https://learn.microsoft.com/en-us/azure/azure-app-configuration/
Apps & AI,Containers,Solution,Azure Container Apps,Serverless containers,"Azure Container Apps is a serverless container platform for running microservices and containerized applications without managing infrastructure. It provides automatic scaling including scale-to-zero, built-in service discovery, Dapr integration for microservices patterns, and simple deployment from container images or source code.",Yes,https://learn.microsoft.com/en-us/azure/container-apps/
Apps & AI,Containers,Solution,Azure Container Instance,Serverless container hosting,"Azure Container Instances provides the fastest and simplest way to run containers in Azure without managing VMs or orchestrators. It offers per-second billing, custom sizes, and public IP connectivity, ideal for simple applications, build agents, task automation, and burst capacity scenarios.",Yes,https://learn.microsoft.com/en-us/azure/container-instances/
Apps & AI,Containers,Solution,Azure Container Registry,Private container registry,"Azure Container Registry is a managed Docker registry for storing and managing container images and artifacts. It provides geo-replication, image scanning, content trust, and integration with AKS and other Azure services, serving as the secure foundation for container-based CI/CD pipelines.",Yes,https://learn.microsoft.com/en-us/azure/container-registry/
Apps & AI,Containers,Solution,Azure Kubernetes Fleet Manager,Multi-cluster management,"Azure Kubernetes Fleet Manager enables centralized management of multiple AKS clusters across regions and subscriptions. It provides consistent configuration, workload placement, and update orchestration across fleet members, simplifying operations for organizations running distributed Kubernetes environments.",No,https://learn.microsoft.com/en-us/azure/kubernetes-fleet/
Apps & AI,Containers,Solution,Azure Kubernetes Service (AKS),Managed Kubernetes,"Azure Kubernetes Service is a managed container orchestration platform that simplifies deploying, managing, and scaling containerized applications using Kubernetes. It provides automated upgrades, patching, self-healing, and integration with Azure services like Monitor, Entra ID, and Container Registry for enterprise-grade container workloads.",Yes,https://learn.microsoft.com/en-us/azure/aks/
Apps & AI,Containers,Solution,Azure Red Hat OpenShift (ARO),Enterprise OpenShift,"Azure Red Hat OpenShift is a fully managed OpenShift service jointly operated by Microsoft and Red Hat. It provides enterprise Kubernetes with built-in CI/CD, developer tools, and operational automation, enabling organizations already invested in OpenShift to run workloads on Azure with full support.",No,https://learn.microsoft.com/en-us/azure/openshift/
Apps & AI,DevOps,CI/CD,Azure Pipelines (Azure DevOps Pipelines),Azure DevOps CI/CD,"Azure DevOps Pipelines provides cloud-hosted CI/CD with YAML or classic editor definitions. It supports multi-stage pipelines, environments with approvals, and deployment to any platform, with hosted agents for Windows, Linux, and macOS.",Yes,https://learn.microsoft.com/en-us/azure/devops/pipelines/
Apps & AI,DevOps,CI/CD,GitHub Actions,GitHub CI/CD,"Continuous Integration and Continuous Deployment automate building, testing, and deploying code changes. Pipelines in GitHub Actions or Azure Pipelines ensure consistent, repeatable deployments and catch issues early through automated testing.",Yes,https://docs.github.com/en/actions
Apps & AI,DevOps,Solution,Azure Deployment Environments,Self-service infra provisioning,"Azure Deployment Environments enables self-service provisioning of preconfigured infrastructure for development and testing. Platform engineers define environment templates using IaC, and developers can spin up complete environments on-demand, accelerating development while maintaining governance and cost control.",No,https://learn.microsoft.com/en-us/azure/deployment-environments/
Apps & AI,DevOps,Solution,Microsoft Dev Box,Cloud developer workstations,"Microsoft Dev Box provides self-service access to high-performance, cloud-based developer workstations. Pre-configured with project-specific tools and code, Dev Boxes enable developers to start coding immediately while IT maintains security, compliance, and cost management across the organization.",No,https://learn.microsoft.com/en-us/azure/dev-box/
Apps & AI,DevOps,Platform,Azure DevOps,"Repos, Pipelines, Boards","Azure DevOps provides integrated tools for the complete software development lifecycle including Git repositories, CI/CD pipelines, agile boards, test management, and artifact feeds. It offers enterprise-grade security, compliance, and scalability for managing complex software projects and delivery pipelines.",Yes,https://learn.microsoft.com/en-us/azure/devops/
Apps & AI,DevOps,Platform,GitHub,"Source control, Actions, Codespaces, Copilot","GitHub is the world's leading software development platform providing Git repository hosting, CI/CD through Actions, cloud development environments via Codespaces, and AI-assisted coding with Copilot. It enables collaborative development, code review, project management, and automated software delivery workflows.",Yes,https://docs.github.com/
Apps & AI,DevOps,Solution,Azure Chaos Studio,Chaos engineering,"Azure Chaos Studio is a managed chaos engineering service for improving application resilience. It enables controlled fault injection experiments against Azure resources to validate that applications can withstand real-world failures, helping teams build confidence in their systems' reliability.",No,https://learn.microsoft.com/en-us/azure/chaos-studio/
Apps & AI,DevOps,Solution,Azure App Testing,Performance testing,"Azure Load Testing is a fully managed service for generating high-scale load against applications. It supports JMeter scripts, provides real-time analytics, and integrates with CI/CD pipelines for automated performance testing, helping teams identify bottlenecks and validate scalability.",No,https://learn.microsoft.com/en-us/azure/app-testing/
Apps & AI,Messaging & Event Streaming,,ActiveMQ,Enterprise messaging,"Apache ActiveMQ is an open-source enterprise message broker supporting JMS, AMQP, and other protocols. It provides message persistence, clustering, and extensive integration with Java ecosystems, commonly found in enterprise Java applications and legacy system integration scenarios.",No,https://activemq.apache.org/components/classic/documentation/
Apps & AI,Messaging & Event Streaming,,Apache Kafka,Distributed streaming platform,"Apache Kafka is an open-source distributed event streaming platform used for high-throughput, fault-tolerant data pipelines and streaming applications. Understanding Kafka architecture, producers, consumers, topics, and partitions is essential for building real-time data platforms and event-driven microservices.",Yes,https://kafka.apache.org/documentation/
Apps & AI,Messaging & Event Streaming,,Azure Event Grid,Event routing service,"Azure Event Grid is a fully managed event routing service that enables event-driven architectures. It provides reliable event delivery with filtering, batching, and retry policies, connecting Azure services, custom applications, and partner services through a unified eventing model with at-least-once delivery guarantees.",Yes,https://learn.microsoft.com/en-us/azure/event-grid/
Apps & AI,Messaging & Event Streaming,,Azure Event Hubs,Big data streaming,"Azure Event Hubs is a big data streaming platform capable of ingesting millions of events per second. It provides partitioned consumer groups, capture to storage, and integration with stream processing services, serving as the foundation for real-time analytics, IoT telemetry, and event sourcing architectures.",Yes,https://learn.microsoft.com/en-us/azure/event-hubs/
Apps & AI,Messaging & Event Streaming,,Azure Relay,Hybrid connectivity,"Azure Relay enables secure, bi-directional communication between on-premises services and the cloud without opening firewall ports. It provides hybrid connections for HTTP/WebSocket traffic and WCF relay for .NET services, enabling gradual cloud migration and hybrid integration scenarios.",No,https://learn.microsoft.com/en-us/azure/azure-relay/
Apps & AI,Messaging & Event Streaming,,Azure Service Bus,Enterprise message broker,"Azure Service Bus is an enterprise message broker providing reliable message queuing and publish-subscribe capabilities. It supports advanced features like sessions, dead-lettering, transactions, and duplicate detection, enabling decoupled architectures, load leveling, and ordered message processing for mission-critical applications.",Yes,https://learn.microsoft.com/en-us/azure/service-bus-messaging/
Apps & AI,Messaging & Event Streaming,,RabbitMQ,Message broker,"RabbitMQ is an open-source message broker supporting multiple messaging protocols including AMQP. It provides flexible routing, message acknowledgment, and clustering capabilities, commonly used for task queues, request-reply patterns, and decoupling application components in polyglot environments.",No,https://www.rabbitmq.com/docs
Apps & AI,Monitoring & Observability,,Azure Application Insights,APM for apps,"Application Insights is an application performance management (APM) service providing deep insights into application behavior. It offers automatic instrumentation, distributed tracing, live metrics, smart detection of anomalies, and integration with development tools for debugging production issues.",Yes,https://learn.microsoft.com/en-us/azure/azure-monitor/app/app-insights-overview
Apps & AI,Monitoring & Observability,,Azure Monitor,"Metrics, logs, alerts","Azure Monitor is a comprehensive observability platform for collecting, analyzing, and acting on telemetry from Azure and hybrid environments. It provides metrics, logs, distributed tracing, and alerting, enabling full-stack monitoring, intelligent diagnostics, and automated remediation.",Yes,https://learn.microsoft.com/en-us/azure/azure-monitor/
Apps & AI,Monitoring & Observability,,Datadog,Full-stack observability (Partner),"Datadog on Azure provides unified observability across infrastructure, applications, and logs. As an Azure Native ISV Service, it offers seamless integration, consolidated billing, and the ability to monitor Azure resources alongside multi-cloud and on-premises environments.",No,https://learn.microsoft.com/en-us/azure/partner-solutions/datadog/
Apps & AI,Monitoring & Observability,,Dynatrace,AI-powered observability (Partner),"Dynatrace on Azure delivers AI-powered full-stack observability with automatic discovery and instrumentation. It provides root cause analysis, business analytics, and cloud automation insights, helping teams understand complex environments and resolve issues faster.",No,https://learn.microsoft.com/en-us/azure/partner-solutions/dynatrace/
Apps & AI,Monitoring & Observability,,Elasticsearch,Distributed search and analytics (Partner),"Elastic Cloud on Azure provides managed Elasticsearch for full-text search, log analytics, and observability. It offers integration with Azure services, Kibana dashboards, and machine learning features for anomaly detection and operational intelligence.",Yes,https://learn.microsoft.com/en-us/azure/partner-solutions/elastic/
Apps & AI,Monitoring & Observability,,New Relic,Observability platform (Partner),"New Relic on Azure provides telemetry data platform capabilities for metrics, events, logs, and traces. As an Azure Native ISV Service, it enables unified observability with simplified procurement and integration for monitoring cloud-native and hybrid applications.",No,https://learn.microsoft.com/en-us/azure/partner-solutions/new-relic/
Apps & AI,Networking,Fundamentals,Firewalls,Network traffic filtering and security,"Firewalls are network security devices that monitor and filter incoming and outgoing traffic based on security rules. Understanding firewall concepts including stateful inspection, packet filtering, application-layer filtering, and network segmentation is essential for designing secure cloud architectures.",No,https://en.wikipedia.org/wiki/Firewall_(computing)
Apps & AI,Networking,Solution,Azure API Management,API gateway & publishing,"Azure API Management is a hybrid, multi-cloud platform for managing APIs across all environments. It provides a gateway for security, rate limiting, and transformation, a developer portal for API discovery, and analytics for monitoring usage, enabling organizations to productize and govern their APIs.",Yes,https://learn.microsoft.com/en-us/azure/api-management/
Apps & AI,Networking,Solution,Azure Application Gateway,Layer 7 load balancer with WAF,"Azure Application Gateway is a web traffic load balancer providing Layer 7 routing, SSL termination, and Web Application Firewall capabilities. It supports URL-based routing, cookie affinity, and autoscaling for securing and scaling web applications within a region.",Yes,https://learn.microsoft.com/en-us/azure/application-gateway/
Apps & AI,Networking,Solution,Azure Bastion,Secure RDP/SSH access to VMs,"Azure Bastion provides secure, seamless RDP and SSH connectivity to virtual machines directly through the Azure portal over TLS. It eliminates the need for public IPs on VMs, protecting against port scanning and providing a managed jump host solution.",Yes,https://learn.microsoft.com/en-us/azure/bastion/
Apps & AI,Networking,Solution,Azure CDN,Content caching and acceleration,"Azure CDN delivers content through a global network of edge servers, reducing latency and improving performance for static and dynamic content. It integrates with Azure services, supports custom domains and HTTPS, and provides rules engine for content optimization and security.",No,https://learn.microsoft.com/en-us/azure/cdn/
Apps & AI,Networking,Solution,Azure DDoS Protection,Distributed denial-of-service protection,"Azure DDoS Protection provides defense against distributed denial-of-service attacks with always-on traffic monitoring and automatic mitigation. It protects Azure resources with adaptive tuning, attack analytics, and integration with Azure Monitor for real-time visibility.",No,https://learn.microsoft.com/en-us/azure/ddos-protection/
Apps & AI,Networking,Solution,Azure DNS,Managed DNS hosting,"Azure DNS provides hosting for DNS domains using Microsoft's global network of name servers. It offers fast response times, high availability, and integration with other Azure services, supporting both public DNS zones and private DNS for virtual network resolution.",No,https://learn.microsoft.com/en-us/azure/dns/
Apps & AI,Networking,Solution,Azure ExpressRoute,Dedicated private connection to Azure,"Azure ExpressRoute provides dedicated, private connections between on-premises infrastructure and Azure datacenters. It offers lower latency, higher reliability, and more consistent performance than internet connections, with bandwidth options up to 100 Gbps for demanding enterprise workloads.",No,https://learn.microsoft.com/en-us/azure/expressroute/
Apps & AI,Networking,Solution,Azure Firewall,Cloud-native network firewall,"Azure Firewall is a managed, cloud-native network security service protecting Azure Virtual Network resources. It provides stateful inspection, application and network-level filtering, threat intelligence integration, and centralized policy management across subscriptions and virtual networks.",Yes,https://learn.microsoft.com/en-us/azure/firewall/
Apps & AI,Networking,Solution,Azure Front Door,"Global load balancing, CDN, WAF, SSL offload","Azure Front Door is a global, scalable entry point for web applications providing load balancing, CDN acceleration, SSL termination, and web application firewall protection. It optimizes performance through Microsoft's global edge network and provides instant failover for high availability.",Yes,https://learn.microsoft.com/en-us/azure/frontdoor/
Apps & AI,Networking,Solution,Azure Load Balancer,Layer 4 (TCP/UDP) load balancing,"Azure Load Balancer provides high-performance Layer 4 load balancing for TCP and UDP traffic. It offers low latency, high throughput, and scales to millions of flows, supporting both internal and external load balancing scenarios with health probes and HA ports.",No,https://learn.microsoft.com/en-us/azure/load-balancer/
Apps & AI,Networking,Solution,Azure NAT Gateway,Outbound internet connectivity,"Azure NAT Gateway provides scalable, reliable outbound internet connectivity for virtual network resources. It offers predictable public IPs for outbound flows, eliminates the need for load balancer outbound rules, and scales automatically to handle traffic demands.",No,https://learn.microsoft.com/en-us/azure/nat-gateway/
Apps & AI,Networking,Solution,Azure Network Watcher,Network monitoring and diagnostics,"Azure Network Watcher provides network monitoring, diagnostics, and analytics for Azure virtual networks. It offers tools for connection troubleshooting, packet capture, flow logging, and topology visualization to diagnose network issues and gain visibility into network health.",No,https://learn.microsoft.com/en-us/azure/network-watcher/
Apps & AI,Networking,Solution,Azure Private Endpoint,Private IP access to PaaS services,"Azure Private Endpoints provide private IP addresses for Azure PaaS services within a virtual network. They enable secure, direct connectivity without public IP exposure, with support for DNS integration and network security group enforcement for granular access control.",Yes,https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview
Apps & AI,Networking,Solution,Azure Private Link,Private connectivity to Azure services,"Azure Private Link enables private access to Azure PaaS services over a private endpoint in your virtual network. Traffic stays on the Microsoft network, eliminating exposure to the public internet and enabling secure access to services like Storage, SQL, and Cosmos DB.",No,https://learn.microsoft.com/en-us/azure/private-link/
Apps & AI,Networking,Solution,Azure Traffic Manager,DNS-based global traffic routing,"Azure Traffic Manager is a DNS-based traffic load balancer for distributing traffic across global Azure regions. It supports priority, weighted, performance, and geographic routing methods for high availability, disaster recovery, and optimal user experience based on endpoint health and location.",No,https://learn.microsoft.com/en-us/azure/traffic-manager/
Apps & AI,Networking,Solution,Azure Virtual Network (VNet),Private network isolation and segmentation,"Azure Virtual Network is the foundational building block for private networks in Azure. It enables secure communication between Azure resources, on-premises networks, and the internet with full control over IP addressing, DNS, security policies, and routing for network isolation and segmentation.",Yes,https://learn.microsoft.com/en-us/azure/virtual-network/
Apps & AI,Networking,Solution,Azure Virtual WAN,Branch connectivity and routing,"Azure Virtual WAN provides unified networking connecting branches, remote users, and Azure workloads through a global transit network. It simplifies hub-and-spoke architectures with automated routing, integrated security, and optimization for hybrid and multi-site connectivity.",No,https://learn.microsoft.com/en-us/azure/virtual-wan/
Apps & AI,Networking,Solution,Azure VPN Gateway,Site-to-site and point-to-site VPN,"Azure VPN Gateway establishes encrypted connections between Azure virtual networks and on-premises locations over the public internet. It supports site-to-site, point-to-site, and VNet-to-VNet connections using IPsec/IKE protocols for hybrid cloud connectivity.",No,https://learn.microsoft.com/en-us/azure/vpn-gateway/
Apps & AI,Programming Languages,Declarative,Bicep,Azure infrastructure as code,"Bicep is a domain-specific language for deploying Azure resources declaratively. It offers a cleaner syntax than ARM templates, with modules, loops, and conditions for building reusable infrastructure definitions that integrate with Azure DevOps and GitHub Actions.",Yes,https://learn.microsoft.com/en-us/azure/azure-resource-manager/bicep/
Apps & AI,Programming Languages,Declarative,Terraform,Multi-cloud infrastructure as code,"Terraform uses HashiCorp Configuration Language (HCL) for defining infrastructure across multiple cloud providers. It provides state management, plan/apply workflows, and a large ecosystem of providers for managing Azure and hybrid cloud environments.",Yes,https://developer.hashicorp.com/terraform/docs
Apps & AI,Programming Languages,Declarative,YAML,Configuration and pipeline definitions,"YAML is a human-readable data serialization format used extensively for configuration files, CI/CD pipelines, Kubernetes manifests, and Azure DevOps/GitHub Actions workflows. Understanding YAML syntax is essential for modern DevOps practices.",No,https://yaml.org/spec/
Apps & AI,Programming Languages,Programming,C,Systems programming language,"C is a general-purpose procedural programming language that provides low-level memory access and efficient compilation. It is foundational for operating systems, embedded systems, and performance-critical applications, and remains essential for understanding systems programming and hardware interaction.",No,https://en.wikipedia.org/wiki/C_(programming_language)
Apps & AI,Programming Languages,Programming,C# / .NET,Enterprise application development,"C# and the .NET platform provide a robust, type-safe environment for building enterprise applications, APIs, and cloud services. With strong Azure integration, ASP.NET Core for web APIs, and Semantic Kernel for AI orchestration, it's a primary language for building production AI applications on Microsoft platforms.",Yes,https://learn.microsoft.com/en-us/dotnet/csharp/
Apps & AI,Programming Languages,Programming,C++,Object-oriented systems language,"C++ extends C with object-oriented features, templates, and the Standard Template Library. It combines high-level abstractions with low-level hardware control, making it ideal for game engines, high-frequency trading systems, browsers, and performance-intensive applications requiring fine-grained resource management.",No,https://en.wikipedia.org/wiki/C%2B%2B
Apps & AI,Programming Languages,Programming,Go,Cloud-native and systems programming,"Go (Golang) is a compiled language designed for simplicity, concurrency, and performance. It's popular for building cloud-native applications, CLI tools, and microservices, with efficient resource usage making it ideal for containerized workloads and Kubernetes-based systems.",Yes,https://go.dev/doc/
Apps & AI,Programming Languages,Programming,Java,Enterprise and cross-platform applications,"Java is a mature, platform-independent language widely used in enterprise environments. It offers strong typing, extensive libraries, and robust tooling for building scalable backend services, microservices, and Android applications with growing AI/ML library support.",Yes,https://docs.oracle.com/en/java/
Apps & AI,Programming Languages,Programming,JavaScript / TypeScript,Web and full-stack development,"JavaScript and TypeScript are essential for web development, enabling both frontend interfaces and Node.js backend services. TypeScript adds static typing for improved maintainability, and both languages are widely used for building AI-powered web applications, APIs, and serverless functions.",Yes,https://www.typescriptlang.org/docs/
Apps & AI,Programming Languages,Programming,Python,General-purpose language for AI/ML and automation,"Python is the dominant language for AI, machine learning, and data science due to its extensive ecosystem of libraries including PyTorch, TensorFlow, pandas, and scikit-learn. Its readable syntax and rapid development capabilities make it ideal for prototyping, scripting, automation, and building AI applications.",Yes,https://www.python.org/doc/
Apps & AI,Programming Languages,Scripting,Bash / Shell,Linux automation and scripting,"Bash is the standard shell for Linux and macOS systems, essential for scripting, automation, and system administration. It's fundamental for CI/CD pipelines, container operations, and managing cloud infrastructure on Linux-based systems.",Yes,https://www.gnu.org/software/bash/manual/
Apps & AI,Programming Languages,Scripting,PowerShell,Windows automation and Azure management,"PowerShell is a task automation framework combining a command-line shell with a scripting language. It's essential for Windows administration, Azure resource management, and DevOps automation, with native cmdlets for managing Azure services and infrastructure.",Yes,https://learn.microsoft.com/en-us/powershell/
Apps & AI,Security & Identity,Governance,Azure Policy,Cloud governance and compliance,"Azure Policy is a governance service for creating, assigning, and managing policies that enforce rules and effects on Azure resources. It ensures compliance with corporate standards and regulatory requirements through built-in policy definitions, custom policies, and initiatives across subscriptions.",Yes,https://learn.microsoft.com/en-us/azure/governance/policy/
Apps & AI,Security & Identity,Identity,Azure Managed Identities,Passwordless Azure authentication,"Managed identities provide Azure services with automatically managed identities in Microsoft Entra ID, eliminating the need for credentials in code. System-assigned and user-assigned identities enable secure access to Azure resources through DefaultAzureCredential without managing secrets.",No,https://learn.microsoft.com/en-us/entra/identity/managed-identities-azure-resources/
Apps & AI,Security & Identity,Identity,Microsoft Entra ID,Identity & access management,"Microsoft Entra ID (formerly Azure Active Directory) is Microsoft's cloud-based identity and access management service. It provides single sign-on, multi-factor authentication, conditional access, and identity governance for securing access to applications, resources, and data across cloud and hybrid environments.",Yes,https://learn.microsoft.com/en-us/entra/identity/
Apps & AI,Security & Identity,Security,Azure Key Vault,"Secrets, keys, certificates","Azure Key Vault safeguards cryptographic keys, secrets, and certificates used by cloud applications and services. It provides hardware security module backing, access policies, auditing, and integration with Azure services for secure secret management without exposing sensitive data in code.",Yes,https://learn.microsoft.com/en-us/azure/key-vault/
Apps & AI,Security & Identity,Security,Microsoft Defender for Cloud,Cloud security posture management,"Microsoft Defender for Cloud is a cloud-native application protection platform (CNAPP) providing cloud security posture management (CSPM) and cloud workload protection (CWPP). It offers security recommendations, secure score, multicloud support, and advanced threat protection across Azure, AWS, and GCP.",No,https://learn.microsoft.com/en-us/azure/defender-for-cloud/
Apps & AI,Security & Identity,Security,Microsoft Sentinel,Cloud-native SIEM and SOAR,"Microsoft Sentinel is a cloud-native security information and event management (SIEM) solution with built-in security orchestration and automated response (SOAR). It provides intelligent security analytics, threat detection, and incident response across enterprise environments with AI-powered insights.",Yes,https://learn.microsoft.com/en-us/azure/sentinel/
